source,target,line,line_color,distance_km,time_min,status
Sampige Road (Mantri Square),Nadaprabhu Kempegowda Station Majestic,Green Line,#008000,0.75,2.5,Operational
Nadaprabhu Kempegowda Station Majestic,Chickpete,Green Line,#008000,0.85,2.7,Operational
Chickpete,Krishna Rajendra Market,Green Line,#008000,0.79,2.6,Operational
Krishna Rajendra Market,National College,Green Line,#008000,1.01,3.0,Operational
National College,Lalbagh,Green Line,#008000,0.93,2.9,Operational
Lalbagh,South End Circle,Green Line,#008000,0.78,2.6,Operational
South End Circle,Jayanagar,Green Line,#008000,0.9,2.8,Operational
Jayanagar,Rashtreeya Vidyalaya Road (RV Road),Green Line,#008000,0.89,2.8,Operational
Rashtreeya Vidyalaya Road (RV Road),Banashankari,Green Line,#008000,1.24,3.5,Operational
Banashankari,Jaya Prakash Nagar (JP Nagar),Green Line,#008000,0.9,2.8,Operational
Jaya Prakash Nagar (JP Nagar),Yelachenahalli,Green Line,#008000,1.13,3.2,Operational
Yelachenahalli,Konanakunte Cross,Green Line,#008000,0.95,2.9,Operational
Konanakunte Cross,Doddakallasandra,Green Line,#008000,1.35,3.7,Operational
Doddakallasandra,Vajrahalli,Green Line,#008000,1.19,3.4,Operational
Vajrahalli,Thalaghattapura,Green Line,#008000,1.17,3.3,Operational
Thalaghattapura,Silk Institute,Green Line,#008000,1.35,3.7,Operational
Rashtreeya Vidyalaya Road (RV Road),Ragigudda,Yellow Line,#FFD700,1.42,3.8,Phase 2 Ready
Ragigudda,Jayadeva Hospital,Yellow Line,#FFD700,1.43,3.8,Phase 2 Ready
Jayadeva Hospital,BTM Layout,Yellow Line,#FFD700,1.37,3.7,Phase 2 Ready
BTM Layout,Central Silk Board,Yellow Line,#FFD700,0.75,2.5,Phase 2 Ready
Central Silk Board,Bommanahalli,Yellow Line,#FFD700,1.56,4.1,Phase 2 Ready
Bommanahalli,Hongasandra,Yellow Line,#FFD700,1.35,3.7,Phase 2 Ready
Hongasandra,Kudlu Gate,Yellow Line,#FFD700,1.35,3.7,Phase 2 Ready
Kudlu Gate,Singasandra,Yellow Line,#FFD700,1.35,3.7,Phase 2 Ready
Singasandra,Hosa Road,Yellow Line,#FFD700,1.35,3.7,Phase 2 Ready
Hosa Road,Beratena Agrahara,Yellow Line,#FFD700,1.35,3.7,Phase 2 Ready
Beratena Agrahara,Electronic City,Yellow Line,#FFD700,1.35,3.7,Phase 2 Ready
Electronic City,Infosys Foundation Konappana Agrahara,Yellow Line,#FFD700,1.35,3.7,Phase 2 Ready
Infosys Foundation Konappana Agrahara,Huskur Road,Yellow Line,#FFD700,1.35,3.7,Phase 2 Ready
Huskur Road,Hebbagodi,Yellow Line,#FFD700,1.35,3.7,Phase 2 Ready
Hebbagodi,Bommasandra,Yellow Line,#FFD700,1.35,3.7,Phase 2 Ready
